No,企業名,業種(大分類),業種(小分類),採用情報URL
43,株式会社京都プラテック,自動車,家電・ＡＶ機器／医療機器／半導体・電子部品・その他／化学,https://job.rikunabi.com//2022/company/r498200060/employ/
44,日立ジョンソンコントロールズ空調株式会社,機械,総合電機（電気・電子機器）／家電・ＡＶ機器／重電・産業用電気機器／半導体・電子部品・その他,https://job.rikunabi.com//2022/company/r498200060/employ/
45,昭和機械商事株式会社,機械,金属製品／商社（機械）／商社（金属）／プラント・エンジニアリング,https://job.rikunabi.com//2022/company/r498200060/employ/
46,日本ヒューム株式会社,建材・エクステリア,建設／水道／プラント・エンジニアリング／不動産,https://job.rikunabi.com//2022/company/r498200060/employ/
47,株式会社キトー,機械,プラント・エンジニアリング／輸送機器／重電・産業用電気機器／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
48,株式会社松井製作所,自動車,輸送機器／金属製品／機械／機械設計,https://job.rikunabi.com//2022/company/r498200060/employ/
49,ダイジェット工業株式会社,金属製品,自動車／機械／非鉄金属／鉄鋼,https://job.rikunabi.com//2022/company/r498200060/employ/
50,株式会社カワタ,機械,重電・産業用電気機器／プラント・エンジニアリング／輸送機器／総合電機（電気・電子機器）,https://job.rikunabi.com//2022/company/r498200060/employ/
51,株式会社シンダイ,自動車,金属製品／輸送機器／機械／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
52,株式会社あかがね,印刷関連,情報処理／ソフトウェア／重電・産業用電気機器／半導体・電子部品・その他,https://job.rikunabi.com//2022/company/r498200060/employ/
53,イビデン株式会社,半導体・電子部品・その他,ガラス・セラミックス／自動車／コンピュータ・通信機器・ＯＡ機器／総合電機（電気・電子機器）,https://job.rikunabi.com//2022/company/r498200060/employ/
54,富士古河E＆C株式会社 ,設備・設備工事関連,建設／電力・電気／プラント・エンジニアリング／機械,https://job.rikunabi.com//2022/company/r498200060/employ/
55,株式会社キャタラー,化学,機械／自動車／総合電機（電気・電子機器）／輸送機器,https://job.rikunabi.com//2022/company/r498200060/employ/
56,大電株式会社,非鉄金属,電力・電気／半導体・電子部品・その他／機械／重電・産業用電気機器,https://job.rikunabi.com//2022/company/r498200060/employ/
57,株式会社今仙電機製作所,輸送機器,自動車／精密機器／半導体・電子部品・その他／医療機器,https://job.rikunabi.com//2022/company/r498200060/employ/
58,光生アルミニューム工業株式会社,自動車,金属製品／輸送機器／化学／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
59,東洋ドライルーブ株式会社,化学,自動車／精密機器／金属製品／商社（化学製品）,https://job.rikunabi.com//2022/company/r498200060/employ/
60,日本国土開発株式会社,建設,建設コンサルタント／設備・設備工事関連／住宅／プラント・エンジニアリング,https://job.rikunabi.com//2022/company/r498200060/employ/
61,三晶エムイーシー株式会社,機械,精密機器／半導体・電子部品・その他／自動車／化学,https://job.rikunabi.com//2022/company/r498200060/employ/
62,イソライト工業株式会社,ガラス・セラミックス,化学／設備・設備工事関連／繊維,https://job.rikunabi.com//2022/company/r498200060/employ/
63,株式会社HDフラワーホールディングス,農林,各種ビジネスサービス／商社（総合）／専門店（複合）／インターネット関連,https://job.rikunabi.com//2022/company/r498200060/employ/
64,昭和化学工業株式会社,化学,鉱業／建材・エクステリア／医薬品／農林,https://job.rikunabi.com//2022/company/r498200060/employ/
65,日泉化学株式会社　,化学,自動車／機械／その他製造／商社（電機・電子・半導体）,https://job.rikunabi.com//2022/company/r498200060/employ/
66,日本冶金工業株式会社,鉄鋼,金属製品／鉱業／非鉄金属／建材・エクステリア,https://job.rikunabi.com//2022/company/r498200060/employ/
67,株式会社NSC,化学,ガラス・セラミックス／半導体・電子部品・その他／精密機器／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
68,大豊建設株式会社,建設,住宅／建設コンサルタント／建築設計,https://job.rikunabi.com//2022/company/r498200060/employ/
69,豊田バンモップス株式会社,自動車,ガラス・セラミックス／鉄鋼／機械／金属製品,https://job.rikunabi.com//2022/company/r498200060/employ/
70,株式会社サンテック,設備・設備工事関連,建設／電力・電気／プラント・エンジニアリング／エネルギー,https://job.rikunabi.com//2022/company/r498200060/employ/
71,東海染工株式会社,繊維,化学／機械／商社（繊維製品）／商社（アパレル・服飾雑貨・貴金属）,https://job.rikunabi.com//2022/company/r498200060/employ/
72,兼房株式会社,金属製品,機械／非鉄金属／鉄鋼／その他製造,https://job.rikunabi.com//2022/company/r498200060/employ/
73,アルプスアルパイン株式会社,半導体・電子部品・その他,機械／家電・ＡＶ機器／コンピュータ・通信機器・ＯＡ機器／自動車,https://job.rikunabi.com//2022/company/r498200060/employ/
74,OKK株式会社,機械,重電・産業用電気機器／半導体・電子部品・その他,https://job.rikunabi.com//2022/company/r498200060/employ/
75,ホーコス株式会社,機械,金属製品／プラント・エンジニアリング／自動車／機械設計,https://job.rikunabi.com//2022/company/r498200060/employ/
